course_id,lecture_id,course_title,lecture_title
course_679,lecture_1907,MERN Stack E-Commerce App using React Native & Redux Toolkit,Sending Email API
course_2256,lecture_1068,TypeScript 5 for developers,Generic Interfaces and types
course_1392,lecture_3218,The Complete Digital Marketing Guide - 24 Courses in 1,Speed Test Your Website
course_1554,lecture_5900,Spring Framework 5: Beginner to Guru,Spring Boot Oracle Database Example
course_1772,lecture_965,Microsoft Dynamics 365 (CRM) &Power Platform Training (2023),Document Templates
course_2374,lecture_5140,Git Mastery: Beginner to Expert with GitHub & GitLab,Azure DevOps 03: Sprints & Wiki
course_529,lecture_1039,GCP for AWS Professionals - Learn Google Cloud at F1 Speed,Step 15 - Exploring Load Balancer in GCP - Google Cloud Platform
course_1599,lecture_3688,PowerPoint Masterclass - Presentation Design & Animation,How to insert a screenshot properly into PowerPoint
course_2314,lecture_5315,AZ-204 Developing Solutions for Microsoft Azure - OCT 2023,Azure Cache for Redis Scaling
course_1671,lecture_1450,Project Management With MS Project - Scheduling Master Class,"Task Types Explained: Fixed Units, Fixed Work, Fixed Duration, Effort Driven"
course_1827,lecture_1984,Python for Data Analysis & Visualization,Distribution Plots
course_1061,lecture_3973,The Complete Self-Driving Car Course - Applied Deep Learning,Self Driving Car - Test 1
course_1304,lecture_1454,Advanced SQL Bootcamp,Creating Stored Procedures
course_1390,lecture_7104,Spring Framework Master Class - Java Spring the Modern Way,Section Introduction - Eclipse in 5 Steps
course_581,lecture_1923,Power BI Business Scenarios with Hands on Use Cases,Power BI Best Practices 2
course_2312,lecture_5634,Salesforce Data Architect Course,Data Archiving and Purging
course_537,lecture_298,Beginner to Pro in Excel: Financial Modeling and Valuation,Calculating Cash Flow
course_678,lecture_3441,IELTS 7 Plus: Complete IELTS Preparation [Academic],IELTS Listening Test 1 (part a)
course_1396,lecture_4647,Entra ID/Azure Active Directory And Azure AD Domain Services,Register a sample application in Azure AD B2C
course_2361,lecture_6590,Azure Container Apps: intro and deep dive,Logging and troubleshooting Container Apps
course_2040,lecture_3497,Docker for Java Developers,Publishing to Dockerhub
course_615,lecture_6642,React - The Complete Guide 2023 (incl. React Router & Redux),Styling the Modal via Tailwind CSS
course_2039,lecture_6382,Grafana Beginners to Advance Crash Course || Free Lab Access,Grafana Dashboard to Monitor Servers
course_141,lecture_5043,The Complete Guide to Build Serverless Applications on AWS,Introduction to Amazon API Gateway
course_133,lecture_4426,Software Architecture & Technology of Large-Scale Systems,Node.JS
course_296,lecture_8048,SC-300 : Microsoft Identity and Access Administrator,Azure Active Directory - Groups
